HGNC symbol	Description	Phenotype description
SDCCAG3	serologically defined colon cancer antigen 3 [Source:HGNC Symbol;Acc:HGNC:10667]	
SEMA3F	semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]	
SEMA5A	semaphorin 5A [Source:HGNC Symbol;Acc:HGNC:10736]	Monosomy 5p
SEMA6D	semaphorin 6D [Source:HGNC Symbol;Acc:HGNC:16770]	
SENP6	SUMO1/sentrin specific peptidase 6 [Source:HGNC Symbol;Acc:HGNC:20944]	SUMO-specific protease activity
SENP6	SUMO1/sentrin specific peptidase 6 [Source:HGNC Symbol;Acc:HGNC:20944]	protein desumoylation
SENP6	SUMO1/sentrin specific peptidase 6 [Source:HGNC Symbol;Acc:HGNC:20944]	regulation of kinetochore assembly
SENP6	SUMO1/sentrin specific peptidase 6 [Source:HGNC Symbol;Acc:HGNC:20944]	regulation of spindle assembly
SERPINC1	serpin family C member 1 [Source:HGNC Symbol;Acc:HGNC:775]	Hereditary thrombophilia due to congenital antithrombin deficiency
SERPINC1	serpin family C member 1 [Source:HGNC Symbol;Acc:HGNC:775]	Antithrombin III deficiency
SERPINE3	serpin family E member 3 [Source:HGNC Symbol;Acc:HGNC:24774]	
SERPINF2	serpin family F member 2 [Source:HGNC Symbol;Acc:HGNC:9075]	Congenital alpha2 antiplasmin deficiency
SERPINF2	serpin family F member 2 [Source:HGNC Symbol;Acc:HGNC:9075]	
SERPINH1	serpin family H member 1 [Source:HGNC Symbol;Acc:HGNC:1546]	Osteogenesis imperfecta type 3
SERPINH1	serpin family H member 1 [Source:HGNC Symbol;Acc:HGNC:1546]	OSTEOGENESIS IMPERFECTA TYPE X
SERPINH1	serpin family H member 1 [Source:HGNC Symbol;Acc:HGNC:1546]	PRETERM PREMATURE RUPTURE OF THE MEMBRANES
SERTAD1	SERTA domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17932]	
SERTAD4	SERTA domain containing 4 [Source:HGNC Symbol;Acc:HGNC:25236]	
SESN2	sestrin 2 [Source:HGNC Symbol;Acc:HGNC:20746]	
SESTD1	SEC14 and spectrin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18379]	
SFPQ	splicing factor proline and glutamine rich [Source:HGNC Symbol;Acc:HGNC:10774]	Translocation renal cell carcinoma
SFTPA2	surfactant protein A2 [Source:HGNC Symbol;Acc:HGNC:10799]	Idiopathic pulmonary fibrosis
SFTPA2	surfactant protein A2 [Source:HGNC Symbol;Acc:HGNC:10799]	PULMONARY FIBROSIS IDIOPATHIC
SFXN2	sideroflexin 2 [Source:HGNC Symbol;Acc:HGNC:16086]	
SH2D6	SH2 domain containing 6 [Source:HGNC Symbol;Acc:HGNC:30439]	
SH3TC1	SH3 domain and tetratricopeptide repeats 1 [Source:HGNC Symbol;Acc:HGNC:26009]	
SHC3	SHC adaptor protein 3 [Source:HGNC Symbol;Acc:HGNC:18181]	
SHISA3	shisa family member 3 [Source:HGNC Symbol;Acc:HGNC:25159]	
SIGLEC8	sialic acid binding Ig like lectin 8 [Source:HGNC Symbol;Acc:HGNC:10877]	
SIPA1	signal-induced proliferation-associated 1 [Source:HGNC Symbol;Acc:HGNC:10885]	
SIRT4	sirtuin 4 [Source:HGNC Symbol;Acc:HGNC:14932]	negative regulation of fatty acid oxidation
SIRT4	sirtuin 4 [Source:HGNC Symbol;Acc:HGNC:14932]	negative regulation of insulin secretion
SIRT7	sirtuin 7 [Source:HGNC Symbol;Acc:HGNC:14935]	
SIX1	SIX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:10887]	Autosomal dominant nonsyndromic sensorineural deafness type DFNA
SIX1	SIX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:10887]	BOR syndrome
SIX1	SIX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:10887]	Branchio-otic syndrome
SIX1	SIX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:10887]	BRANCHIOOTIC SYNDROME 3
SIX1	SIX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:10887]	BRANCHIOOTORENAL SYNDROME 1
SIX1	SIX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:10887]	DEAFNESS AUTOSOMAL DOMINANT 23
SIX1	SIX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:10887]	branchiootic syndrome type 3 (BOS3)
SIX1	SIX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:10887]	deafness autosomal dominant type 23 (DFNA23)
SIX1	SIX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:10887]	RNA polymerase II core promoter proximal region sequence-specific DNA binding
SIX1	SIX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:10887]	positive regulation of transcription from RNA polymerase II promoter
SIX1	SIX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:10887]	transcriptional activator activity RNA polymerase II core promoter proximal region sequence-specific binding
SIX2	SIX homeobox 2 [Source:HGNC Symbol;Acc:HGNC:10888]	
SIX4	SIX homeobox 4 [Source:HGNC Symbol;Acc:HGNC:10890]	
SIX5	SIX homeobox 5 [Source:HGNC Symbol;Acc:HGNC:10891]	BOR syndrome
SIX5	SIX homeobox 5 [Source:HGNC Symbol;Acc:HGNC:10891]	BRANCHIOOTORENAL SYNDROME 2
SIX5	SIX homeobox 5 [Source:HGNC Symbol;Acc:HGNC:10891]	branchiootorenal syndrome type 2
SLC11A1	solute carrier family 11 member 1 [Source:HGNC Symbol;Acc:HGNC:10907]	Tuberculosis
SLC11A1	solute carrier family 11 member 1 [Source:HGNC Symbol;Acc:HGNC:10907]	BURULI ULCER SUSCEPTIBILITY TO
SLC11A1	solute carrier family 11 member 1 [Source:HGNC Symbol;Acc:HGNC:10907]	MYCOBACTERIUM TUBERCULOSIS SUSCEPTIBILITY TO MYCOBACTERIUM TUBERCULOSIS PROTECTION AGAINST INCLUDED
SLC11A1	solute carrier family 11 member 1 [Source:HGNC Symbol;Acc:HGNC:10907]	cellular iron ion homeostasis
SLC11A1	solute carrier family 11 member 1 [Source:HGNC Symbol;Acc:HGNC:10907]	iron ion transport
SLC11A1	solute carrier family 11 member 1 [Source:HGNC Symbol;Acc:HGNC:10907]	regulation of plasma membrane raft polarization
SLC12A7	solute carrier family 12 member 7 [Source:HGNC Symbol;Acc:HGNC:10915]	
SLC16A12	solute carrier family 16 member 12 [Source:HGNC Symbol;Acc:HGNC:23094]	Juvenile cataract-microcornea-renal glucosuria syndrome
SLC16A12	solute carrier family 16 member 12 [Source:HGNC Symbol;Acc:HGNC:23094]	CATARACT 47 JUVENILE WITH MICROCORNEA (1 family)
SLC17A9	solute carrier family 17 member 9 [Source:HGNC Symbol;Acc:HGNC:16192]	Disseminated superficial actinic porokeratosis
SLC17A9	solute carrier family 17 member 9 [Source:HGNC Symbol;Acc:HGNC:16192]	POROKERATOSIS 8 DISSEMINATED SUPERFICIAL ACTINIC TYPE
SLC17A9	solute carrier family 17 member 9 [Source:HGNC Symbol;Acc:HGNC:16192]	positive regulation of protein targeting to mitochondrion
SLC17A9	solute carrier family 17 member 9 [Source:HGNC Symbol;Acc:HGNC:16192]	positive regulation of mitophagy
SLC19A3	solute carrier family 19 member 3 [Source:HGNC Symbol;Acc:HGNC:16266]	Biotin-responsive basal ganglia disease
SLC19A3	solute carrier family 19 member 3 [Source:HGNC Symbol;Acc:HGNC:16266]	Infantile spams-psychomotor retardation-progressive brain atrophy-basal ganglia disease syndrome
SLC19A3	solute carrier family 19 member 3 [Source:HGNC Symbol;Acc:HGNC:16266]	Leigh syndrome with leukodystrophy
SLC19A3	solute carrier family 19 member 3 [Source:HGNC Symbol;Acc:HGNC:16266]	Thiamine-responsive encephalopathy
SLC19A3	solute carrier family 19 member 3 [Source:HGNC Symbol;Acc:HGNC:16266]	THIAMINE METABOLISM DYSFUNCTION SYNDROME 2 (BIOTIN- OR THIAMINE-RESPONSIVE TYPE)
SLC1A7	solute carrier family 1 member 7 [Source:HGNC Symbol;Acc:HGNC:10945]	
SLC20A2	solute carrier family 20 member 2 [Source:HGNC Symbol;Acc:HGNC:10947]	Bilateral striopallidodentate calcinosis
SLC20A2	solute carrier family 20 member 2 [Source:HGNC Symbol;Acc:HGNC:10947]	BASAL GANGLIA CALCIFICATION IDIOPATHIC 1
SLC22A2	solute carrier family 22 member 2 [Source:HGNC Symbol;Acc:HGNC:10966]	
SLC22A31	solute carrier family 22 member 31 [Source:HGNC Symbol;Acc:HGNC:27091]	
SLC24A1	solute carrier family 24 member 1 [Source:HGNC Symbol;Acc:HGNC:10975]	Congenital stationary night blindness
SLC24A1	solute carrier family 24 member 1 [Source:HGNC Symbol;Acc:HGNC:10975]	Night blindness congenital stationary type 1D
SLC25A41	solute carrier family 25 member 41 [Source:HGNC Symbol;Acc:HGNC:28533]	
SLC25A42	solute carrier family 25 member 42 [Source:HGNC Symbol;Acc:HGNC:28380]	
SLC25A48	solute carrier family 25 member 48 [Source:HGNC Symbol;Acc:HGNC:30451]	
SLC26A6	solute carrier family 26 member 6 [Source:HGNC Symbol;Acc:HGNC:14472]	
SLC30A9	solute carrier family 30 member 9 [Source:HGNC Symbol;Acc:HGNC:1329]	
SLC35D3	solute carrier family 35 member D3 [Source:HGNC Symbol;Acc:HGNC:15621]	
SLC35E3	solute carrier family 35 member E3 [Source:HGNC Symbol;Acc:HGNC:20864]	
SLC38A2	solute carrier family 38 member 2 [Source:HGNC Symbol;Acc:HGNC:13448]	
SLC39A9	solute carrier family 39 member 9 [Source:HGNC Symbol;Acc:HGNC:20182]	
SLC3A2	solute carrier family 3 member 2 [Source:HGNC Symbol;Acc:HGNC:11026]	
SLC43A3	solute carrier family 43 member 3 [Source:HGNC Symbol;Acc:HGNC:17466]	
SLC4A11	solute carrier family 4 member 11 [Source:HGNC Symbol;Acc:HGNC:16438]	Congenital hereditary endothelial dystrophy type II
SLC4A11	solute carrier family 4 member 11 [Source:HGNC Symbol;Acc:HGNC:16438]	Corneal dystrophy-perceptive deafness syndrome
SLC4A11	solute carrier family 4 member 11 [Source:HGNC Symbol;Acc:HGNC:16438]	Fuchs endothelial corneal dystrophy
SLC4A11	solute carrier family 4 member 11 [Source:HGNC Symbol;Acc:HGNC:16438]	Corneal dystrophy fuchs endothelial 4
SLC4A8	solute carrier family 4 member 8 [Source:HGNC Symbol;Acc:HGNC:11034]	
SLC52A3	solute carrier family 52 member 3 [Source:HGNC Symbol;Acc:HGNC:16187]	Riboflavin transporter deficiency
SLC52A3	solute carrier family 52 member 3 [Source:HGNC Symbol;Acc:HGNC:16187]	BROWN-VIALETTO-VAN LAERE SYNDROME 1
SLC52A3	solute carrier family 52 member 3 [Source:HGNC Symbol;Acc:HGNC:16187]	FAZIO-LONDE DISEASE
SLC52A3	solute carrier family 52 member 3 [Source:HGNC Symbol;Acc:HGNC:16187]	Brown-Vialetto-Van laere syndrome
SLC52A3	solute carrier family 52 member 3 [Source:HGNC Symbol;Acc:HGNC:16187]	detection of mechanical stimulus involved in sensory perception of sound
SLC5A3	solute carrier family 5 member 3 [Source:HGNC Symbol;Acc:HGNC:11038]	
SLC5A7	solute carrier family 5 member 7 [Source:HGNC Symbol;Acc:HGNC:14025]	Distal hereditary motor neuropathy type 7
SLC5A7	solute carrier family 5 member 7 [Source:HGNC Symbol;Acc:HGNC:14025]	MYASTHENIC SYNDROME CONGENITAL 20 PRESYNAPTIC
SLC5A7	solute carrier family 5 member 7 [Source:HGNC Symbol;Acc:HGNC:14025]	NEURONOPATHY DISTAL HEREDITARY MOTOR TYPE VIIA
SLC5A7	solute carrier family 5 member 7 [Source:HGNC Symbol;Acc:HGNC:14025]	acetylcholine biosynthetic process
SLC5A7	solute carrier family 5 member 7 [Source:HGNC Symbol;Acc:HGNC:14025]	choline transmembrane transporter activity
SLC5A7	solute carrier family 5 member 7 [Source:HGNC Symbol;Acc:HGNC:14025]	choline:sodium symporter activity
SLC6A12	solute carrier family 6 member 12 [Source:HGNC Symbol;Acc:HGNC:11045]	
SLC6A13	solute carrier family 6 member 13 [Source:HGNC Symbol;Acc:HGNC:11046]	
SLC7A14	solute carrier family 7 member 14 [Source:HGNC Symbol;Acc:HGNC:29326]	Retinitis pigmentosa
SLC7A14	solute carrier family 7 member 14 [Source:HGNC Symbol;Acc:HGNC:29326]	RETINITIS PIGMENTOSA 68
SLC7A2	solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060]	
SLC7A5	solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063]	
SLC7A9	solute carrier family 7 member 9 [Source:HGNC Symbol;Acc:HGNC:11067]	Cystinuria type B
SLC7A9	solute carrier family 7 member 9 [Source:HGNC Symbol;Acc:HGNC:11067]	CYSTINURIA
SLC7A9	solute carrier family 7 member 9 [Source:HGNC Symbol;Acc:HGNC:11067]	L-cystine transmembrane transporter activity
SLC7A9	solute carrier family 7 member 9 [Source:HGNC Symbol;Acc:HGNC:11067]	L-cystine transport
SLC7A9	solute carrier family 7 member 9 [Source:HGNC Symbol;Acc:HGNC:11067]	neutral amino acid transmembrane transporter activity
SLC7A9	solute carrier family 7 member 9 [Source:HGNC Symbol;Acc:HGNC:11067]	neutral amino acid transport
SLC9A7	solute carrier family 9 member A7 [Source:HGNC Symbol;Acc:HGNC:17123]	
SLCO4A1	solute carrier organic anion transporter family member 4A1 [Source:HGNC Symbol;Acc:HGNC:10953]	
SLFN5	schlafen family member 5 [Source:HGNC Symbol;Acc:HGNC:28286]	
SLFNL1	schlafen like 1 [Source:HGNC Symbol;Acc:HGNC:26313]	
SLPI	secretory leukocyte peptidase inhibitor [Source:HGNC Symbol;Acc:HGNC:11092]	
SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3 [Source:HGNC Symbol;Acc:HGNC:11108]	
SMCO4	single-pass membrane protein with coiled-coil domains 4 [Source:HGNC Symbol;Acc:HGNC:24810]	
SMIM14	small integral membrane protein 14 [Source:HGNC Symbol;Acc:HGNC:27321]	
SMO	smoothened, frizzled class receptor [Source:HGNC Symbol;Acc:HGNC:11119]	Curry-Jones Syndrome
SMO	smoothened, frizzled class receptor [Source:HGNC Symbol;Acc:HGNC:11119]	BASAL CELL CARCINOMA SUSCEPTIBILITY TO 1
SMOX	spermine oxidase [Source:HGNC Symbol;Acc:HGNC:15862]	
SMTN	smoothelin [Source:HGNC Symbol;Acc:HGNC:11126]	
SNTN	sentan, cilia apical structure protein [Source:HGNC Symbol;Acc:HGNC:33706]	
SNX4	sorting nexin 4 [Source:HGNC Symbol;Acc:HGNC:11175]	
SOX12	SRY-box 12 [Source:HGNC Symbol;Acc:HGNC:11198]	
SPAG6	sperm associated antigen 6 [Source:HGNC Symbol;Acc:HGNC:11215]	
SPATA7	spermatogenesis associated 7 [Source:HGNC Symbol;Acc:HGNC:20423]	Leber congenital amaurosis
SPATA7	spermatogenesis associated 7 [Source:HGNC Symbol;Acc:HGNC:20423]	Retinitis pigmentosa
SPATA7	spermatogenesis associated 7 [Source:HGNC Symbol;Acc:HGNC:20423]	Severe early-childhood-onset retinal dystrophy
SPATA7	spermatogenesis associated 7 [Source:HGNC Symbol;Acc:HGNC:20423]	LEBER CONGENITAL AMAUROSIS 3
SPCS1	signal peptidase complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:23401]	
SPECC1L	sperm antigen with calponin homology and coiled-coil domains 1 like [Source:HGNC Symbol;Acc:HGNC:29022]	Autosomal dominant Opitz G/BBB syndrome
SPECC1L	sperm antigen with calponin homology and coiled-coil domains 1 like [Source:HGNC Symbol;Acc:HGNC:29022]	Commissural facial cleft
SPECC1L	sperm antigen with calponin homology and coiled-coil domains 1 like [Source:HGNC Symbol;Acc:HGNC:29022]	Hypertelorism Teebi type
SPECC1L	sperm antigen with calponin homology and coiled-coil domains 1 like [Source:HGNC Symbol;Acc:HGNC:29022]	Tessier number 4 facial cleft
SPECC1L	sperm antigen with calponin homology and coiled-coil domains 1 like [Source:HGNC Symbol;Acc:HGNC:29022]	FACIAL CLEFTING OBLIQUE 1 (1 patient)
SPECC1L	sperm antigen with calponin homology and coiled-coil domains 1 like [Source:HGNC Symbol;Acc:HGNC:29022]	OPITZ GBBB SYNDROME TYPE II
SPG11	spastic paraplegia 11 (autosomal recessive) [Source:HGNC Symbol;Acc:HGNC:11226]	Autosomal recessive spastic paraplegia type 11
SPG11	spastic paraplegia 11 (autosomal recessive) [Source:HGNC Symbol;Acc:HGNC:11226]	Juvenile amyotrophic lateral sclerosis
SPG11	spastic paraplegia 11 (autosomal recessive) [Source:HGNC Symbol;Acc:HGNC:11226]	CHARCOT-MARIE-TOOTH DISEASE AXONAL TYPE 2X
SPG11	spastic paraplegia 11 (autosomal recessive) [Source:HGNC Symbol;Acc:HGNC:11226]	SPASTIC PARAPLEGIA 11 AUTOSOMAL RECESSIVE
SPG11	spastic paraplegia 11 (autosomal recessive) [Source:HGNC Symbol;Acc:HGNC:11226]	Spastic paraplegia-11
SPINK8	serine peptidase inhibitor, Kazal type 8 (putative) [Source:HGNC Symbol;Acc:HGNC:33160]	
SPR	sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase) [Source:HGNC Symbol;Acc:HGNC:11257]	Dopa-responsive dystonia due to sepiapterin reductase deficiency
SPR	sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase) [Source:HGNC Symbol;Acc:HGNC:11257]	DYSTONIA DOPA-RESPONSIVE DUE TO SEPIAPTERIN REDUCTASE DEFICIENCY
SPRTN	SprT-like N-terminal domain [Source:HGNC Symbol;Acc:HGNC:25356]	Progeroid features-hepatocellular carcinoma predisposition syndrome
SPRTN	SprT-like N-terminal domain [Source:HGNC Symbol;Acc:HGNC:25356]	RUIJS-AALFS SYNDROME
SPRTN	SprT-like N-terminal domain [Source:HGNC Symbol;Acc:HGNC:25356]	XFE PROGEROID SYNDROME
SRBD1	S1 RNA binding domain 1 [Source:HGNC Symbol;Acc:HGNC:25521]	
SST	somatostatin [Source:HGNC Symbol;Acc:HGNC:11329]	
SSU72	SSU72 homolog, RNA polymerase II CTD phosphatase [Source:HGNC Symbol;Acc:HGNC:25016]	
STAC	SH3 and cysteine rich domain [Source:HGNC Symbol;Acc:HGNC:11353]	
STAM	signal transducing adaptor molecule [Source:HGNC Symbol;Acc:HGNC:11357]	
STARD10	StAR related lipid transfer domain containing 10 [Source:HGNC Symbol;Acc:HGNC:10666]	
STARD6	StAR related lipid transfer domain containing 6 [Source:HGNC Symbol;Acc:HGNC:18066]	
STC2	stanniocalcin 2 [Source:HGNC Symbol;Acc:HGNC:11374]	
STIP1	stress induced phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11387]	
STK31	serine/threonine kinase 31 [Source:HGNC Symbol;Acc:HGNC:11407]	
STK38	serine/threonine kinase 38 [Source:HGNC Symbol;Acc:HGNC:17847]	
STRN	striatin [Source:HGNC Symbol;Acc:HGNC:11424]	
STX17	syntaxin 17 [Source:HGNC Symbol;Acc:HGNC:11432]	
STXBP2	syntaxin binding protein 2 [Source:HGNC Symbol;Acc:HGNC:11445]	Familial hemophagocytic lymphohistiocytosis
STXBP2	syntaxin binding protein 2 [Source:HGNC Symbol;Acc:HGNC:11445]	HEMOPHAGOCYTIC LYMPHOHISTIOCYTOSIS FAMILIAL 5
SUPT7L	SPT7-like STAGA complex gamma subunit [Source:HGNC Symbol;Acc:HGNC:30632]	
SV2C	synaptic vesicle glycoprotein 2C [Source:HGNC Symbol;Acc:HGNC:30670]	
SYDE1	synapse defective Rho GTPase homolog 1 [Source:HGNC Symbol;Acc:HGNC:25824]	
SYNDIG1L	synapse differentiation inducing 1 like [Source:HGNC Symbol;Acc:HGNC:32388]	
SYS1-DBNDD2	SYS1-DBNDD2 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:33535]	
SYT11	synaptotagmin 11 [Source:HGNC Symbol;Acc:HGNC:19239]	
SYTL4	synaptotagmin like 4 [Source:HGNC Symbol;Acc:HGNC:15588]	ubiquitin-independent protein catabolic process via the multivesicular body sorting pathway
SYTL4	synaptotagmin like 4 [Source:HGNC Symbol;Acc:HGNC:15588]	positive regulation of exocytosis
SYTL4	synaptotagmin like 4 [Source:HGNC Symbol;Acc:HGNC:15588]	positive regulation of protein secretion
TAB3	TGF-beta activated kinase 1/MAP3K7 binding protein 3 [Source:HGNC Symbol;Acc:HGNC:30681]	
TAC1	tachykinin precursor 1 [Source:HGNC Symbol;Acc:HGNC:11517]	
TAL1	TAL bHLH transcription factor 1, erythroid differentiation factor [Source:HGNC Symbol;Acc:HGNC:11556]	Precursor T-cell acute lymphoblastic leukemia
TAL1	TAL bHLH transcription factor 1, erythroid differentiation factor [Source:HGNC Symbol;Acc:HGNC:11556]	Leukemia acute lymphoblastic 3
TAL1	TAL bHLH transcription factor 1, erythroid differentiation factor [Source:HGNC Symbol;Acc:HGNC:11556]	erythrocyte differentiation
TAL1	TAL bHLH transcription factor 1, erythroid differentiation factor [Source:HGNC Symbol;Acc:HGNC:11556]	positive regulation of cell division
TAL1	TAL bHLH transcription factor 1, erythroid differentiation factor [Source:HGNC Symbol;Acc:HGNC:11556]	positive regulation of chromatin assembly or disassembly
TAL1	TAL bHLH transcription factor 1, erythroid differentiation factor [Source:HGNC Symbol;Acc:HGNC:11556]	positive regulation of mitotic cell cycle
TARBP1	TAR (HIV-1) RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11568]	
TATDN3	TatD DNase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:27010]	
TBCEL	tubulin folding cofactor E like [Source:HGNC Symbol;Acc:HGNC:28115]	
TBX15	T-box 15 [Source:HGNC Symbol;Acc:HGNC:11594]	Pelviscapular dysplasia
TBX15	T-box 15 [Source:HGNC Symbol;Acc:HGNC:11594]	COUSIN SYNDROME
TBX15	T-box 15 [Source:HGNC Symbol;Acc:HGNC:11594]	Cousin Syndrome; Craniofacial Dysmorphism Hypoplasia of Scapula and Pelvis and Short Stature
TBX6	T-box 6 [Source:HGNC Symbol;Acc:HGNC:11605]	Autosomal dominant spondylocostal dysostosis
TBX6	T-box 6 [Source:HGNC Symbol;Acc:HGNC:11605]	Spondylocostal dysostosis 5
TCAP	titin-cap [Source:HGNC Symbol;Acc:HGNC:11610]	Autosomal recessive limb-girdle muscular dystrophy type 2G
TCAP	titin-cap [Source:HGNC Symbol;Acc:HGNC:11610]	Familial isolated dilated cardiomyopathy
TCAP	titin-cap [Source:HGNC Symbol;Acc:HGNC:11610]	CARDIOMYOPATHY FAMILIAL HYPERTROPHIC 25
TCAP	titin-cap [Source:HGNC Symbol;Acc:HGNC:11610]	MUSCULAR DYSTROPHY LIMB-GIRDLE TYPE 2G
TCAP	titin-cap [Source:HGNC Symbol;Acc:HGNC:11610]	adult heart development
TCAP	titin-cap [Source:HGNC Symbol;Acc:HGNC:11610]	cardiac muscle contraction
TCAP	titin-cap [Source:HGNC Symbol;Acc:HGNC:11610]	cardiac muscle fiber development
TCAP	titin-cap [Source:HGNC Symbol;Acc:HGNC:11610]	cardiac muscle hypertrophy
TCAP	titin-cap [Source:HGNC Symbol;Acc:HGNC:11610]	cardiac muscle hypertrophy in response to stress
TCAP	titin-cap [Source:HGNC Symbol;Acc:HGNC:11610]	atrial cardiac muscle tissue morphogenesis
TCAP	titin-cap [Source:HGNC Symbol;Acc:HGNC:11610]	cardiac myofibril assembly
TCAP	titin-cap [Source:HGNC Symbol;Acc:HGNC:11610]	detection of muscle stretch
TCAP	titin-cap [Source:HGNC Symbol;Acc:HGNC:11610]	negative regulation of sarcomere organization
TCAP	titin-cap [Source:HGNC Symbol;Acc:HGNC:11610]	sarcomerogenesis
TCAP	titin-cap [Source:HGNC Symbol;Acc:HGNC:11610]	skeletal muscle myosin thick filament assembly
TCAP	titin-cap [Source:HGNC Symbol;Acc:HGNC:11610]	skeletal muscle thin filament assembly
TCAP	titin-cap [Source:HGNC Symbol;Acc:HGNC:11610]	structural constituent of muscle
TCERG1	transcription elongation regulator 1 [Source:HGNC Symbol;Acc:HGNC:15630]	
TCF15	transcription factor 15 (basic helix-loop-helix) [Source:HGNC Symbol;Acc:HGNC:11627]	
TCF7L1	transcription factor 7 like 1 [Source:HGNC Symbol;Acc:HGNC:11640]	
TCIRG1	T-cell immune regulator 1, ATPase H+ transporting V0 subunit a3 [Source:HGNC Symbol;Acc:HGNC:11647]	Autosomal dominant severe congenital neutropenia
TCIRG1	T-cell immune regulator 1, ATPase H+ transporting V0 subunit a3 [Source:HGNC Symbol;Acc:HGNC:11647]	Autosomal recessive malignant osteopetrosis
TCIRG1	T-cell immune regulator 1, ATPase H+ transporting V0 subunit a3 [Source:HGNC Symbol;Acc:HGNC:11647]	OSTEOPETROSIS AUTOSOMAL RECESSIVE 1
TCP11	t-complex 11 [Source:HGNC Symbol;Acc:HGNC:11658]	
TCP11L1	t-complex 11 like 1 [Source:HGNC Symbol;Acc:HGNC:25655]	
TDP1	tyrosyl-DNA phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:18884]	Spinocerebellar ataxia type 1 with axonal neuropathy
TDP1	tyrosyl-DNA phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:18884]	SPINOCEREBELLAR ATAXIA AUTOSOMAL RECESSIVE WITH AXONAL NEUROPATHY;
TEAD2	TEA domain transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:11715]	
TECTA	tectorin alpha [Source:HGNC Symbol;Acc:HGNC:11720]	Autosomal dominant nonsyndromic sensorineural deafness type DFNA
TECTA	tectorin alpha [Source:HGNC Symbol;Acc:HGNC:11720]	Autosomal recessive nonsyndromic sensorineural deafness type DFNB
TECTA	tectorin alpha [Source:HGNC Symbol;Acc:HGNC:11720]	DEAFNESS AUTOSOMAL DOMINANT 12
TECTA	tectorin alpha [Source:HGNC Symbol;Acc:HGNC:11720]	DEAFNESS AUTOSOMAL RECESSIVE 21
TECTA	tectorin alpha [Source:HGNC Symbol;Acc:HGNC:11720]	Deafness autosomal dominant type 12
TFAP2C	transcription factor AP-2 gamma [Source:HGNC Symbol;Acc:HGNC:11744]	
TFCP2	transcription factor CP2 [Source:HGNC Symbol;Acc:HGNC:11748]	
TFIP11	tuftelin interacting protein 11 [Source:HGNC Symbol;Acc:HGNC:17165]	
TG	thyroglobulin [Source:HGNC Symbol;Acc:HGNC:11764]	Familial thyroid dyshormonogenesis
TG	thyroglobulin [Source:HGNC Symbol;Acc:HGNC:11764]	AUTOIMMUNE THYROID DISEASE SUSCEPTIBILITY TO 3
TG	thyroglobulin [Source:HGNC Symbol;Acc:HGNC:11764]	THYROID DYSHORMONOGENESIS 3
TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	CAMURATI-ENGELMANN DISEASE
TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	CYSTIC FIBROSIS
TGIF1	TGFB induced factor homeobox 1 [Source:HGNC Symbol;Acc:HGNC:11776]	Alobar holoprosencephaly
TGIF1	TGFB induced factor homeobox 1 [Source:HGNC Symbol;Acc:HGNC:11776]	Lobar holoprosencephaly
TGIF1	TGFB induced factor homeobox 1 [Source:HGNC Symbol;Acc:HGNC:11776]	Microform holoprosencephaly
TGIF1	TGFB induced factor homeobox 1 [Source:HGNC Symbol;Acc:HGNC:11776]	Midline interhemispheric variant of holoprosencephaly
TGIF1	TGFB induced factor homeobox 1 [Source:HGNC Symbol;Acc:HGNC:11776]	Semilobar holoprosencephaly
TGIF1	TGFB induced factor homeobox 1 [Source:HGNC Symbol;Acc:HGNC:11776]	Septopreoptic holoprosencephaly
TGIF1	TGFB induced factor homeobox 1 [Source:HGNC Symbol;Acc:HGNC:11776]	HOLOPROSENCEPHALY 4
